k,outer_1_x,outer_1_y,outer_2_x,outer_2_y,outer_3_x,outer_3_y,outer_4_x,outer_4_y,outer_5_x,outer_5_y,outer_6_x,outer_6_y,outer_7_x,outer_7_y,outer_8_x,outer_8_y,outer_9_x,outer_9_y,outer_10_x,outer_10_y,outer_11_x,outer_11_y
47,11.7882,0.0141541,11.7655,0.0283352,12.5008,-0.0989135,12.8251,-0.105826,13.4033,-0.0995661,13.5948,-0.0841469,13.61,-0.0822721,13.61,-0.0822687,13.6101,-0.0822521,13.6101,-0.0822433,13.6104,-0.0822065
48,11.9038,0.0122033,11.8933,0.0253509,12.6258,-0.0890451,12.961,-0.10075,13.563,-0.108741,13.7631,-0.0993096,13.779,-0.0980934,13.779,-0.098091,13.7791,-0.0980796,13.7791,-0.0980738,13.7794,-0.0980496
49,12.0094,0.0105815,12.011,0.0226448,12.7408,-0.0799809,13.0868,-0.0939956,13.7129,-0.113206,13.9218,-0.108954,13.9384,-0.10832,13.9384,-0.108319,13.9385,-0.108312,13.9386,-0.108309,13.9389,-0.108296
50,12.1049,0.00924556,12.1187,0.020265,12.8458,-0.0719534,13.2026,-0.086831,13.8529,-0.11375,14.0707,-0.113911,14.088,-0.113786,14.088,-0.113786,14.0881,-0.113783,14.0882,-0.113782,14.0885,-0.113779
51,12.1906,0.00815042,12.2164,0.0182161,12.9409,-0.0650236,13.3083,-0.0799057,13.9828,-0.111118,14.2096,-0.114965,14.2278,-0.115279,14.2278,-0.115279,14.2279,-0.115281,14.2279,-0.115282,14.2283,-0.115288
52,12.2679,0.00723839,12.3041,0.0164785,13.026,-0.0591525,13.4041,-0.0735565,14.1027,-0.105999,14.3386,-0.112852,14.3575,-0.113538,14.3575,-0.113539,14.3576,-0.113544,14.3577,-0.113547,14.358,-0.11356
53,12.3384,0.00646618,12.3827,0.0150033,13.1011,-0.0542507,13.4899,-0.0679362,14.2124,-0.0994934,14.4574,-0.108257,14.4771,-0.109253,14.4772,-0.109255,14.4773,-0.109262,14.4773,-0.109266,14.4777,-0.109285
54,12.4031,0.00580128,12.454,0.0137354,13.1663,-0.0502125,13.5657,-0.0630885,14.3122,-0.0927221,14.5662,-0.101815,14.5867,-0.103062,14.5867,-0.103064,14.5868,-0.103074,14.5869,-0.103079,14.5873,-0.103103
55,12.4632,0.0052191,12.5191,0.0126305,13.2225,-0.0468812,13.6315,-0.0589976,14.4019,-0.0862467,14.6649,-0.0949567,14.6862,-0.0962861,14.6862,-0.0962883,14.6864,-0.0962991,14.6864,-0.096305,14.6868,-0.0963304
56,12.5196,0.00470086,12.5792,0.0116528,13.2712,-0.0440891,13.6874,-0.0556213,14.4816,-0.0803563,14.7536,-0.0883276,14.7757,-0.0896518,14.7757,-0.089654,14.7759,-0.0896652,14.7759,-0.0896711,14.7764,-0.0896967
57,12.5732,0.00423195,12.6354,0.010774,13.314,-0.0417067,13.7335,-0.0528959,14.5514,-0.0751857,14.8324,-0.0822579,14.8552,-0.0835301,14.8552,-0.0835324,14.8554,-0.0835434,14.8555,-0.0835493,14.8559,-0.0835741
58,12.6247,0.00380088,12.6886,0.00997084,13.3522,-0.0396313,13.7719,-0.0506715,14.6112,-0.0707829,14.9011,-0.0769081,14.9247,-0.0781053,14.9247,-0.0781075,14.9249,-0.0781183,14.925,-0.0781238,14.9254,-0.0781474
59,12.6749,0.00339839,12.7398,0.00922464,13.3868,-0.0377793,13.8041,-0.0488256,14.661,-0.0671508,14.9599,-0.0723429,14.9843,-0.073456,14.9843,-0.0734583,14.9845,-0.0734685,14.9846,-0.0734738,14.985,-0.0734958
60,12.7244,0.00301695,12.7898,0.00851967,13.4191,-0.0360793,13.8318,-0.0472549,14.7008,-0.0642735,15.0087,-0.0685764,15.0339,-0.0696046,15.0339,-0.0696068,15.0341,-0.0696164,15.0342,-0.0696213,15.0346,-0.0696417
61,12.774,0.00265031,12.8392,0.0078426,13.4502,-0.0344688,13.8564,-0.0458688,14.7307,-0.0621322,15.0476,-0.0656002,15.0735,-0.0665468,15.0735,-0.0665489,15.0737,-0.066558,15.0738,-0.0665625,15.0743,-0.0665813
62,12.8243,0.00229326,12.8891,0.00718199,13.481,-0.0328906,13.8793,-0.0445848,14.7522,-0.0605996,15.0765,-0.0634001,15.1032,-0.0642705,15.1032,-0.0642725,15.1033,-0.064281,15.1035,-0.0642852,15.104,-0.0643024
63,12.8761,0.00194142,12.94,0.00652783,13.5125,-0.031291,13.9019,-0.0433248,14.7678,-0.0594876,15.0959,-0.0619278,15.123,-0.0627521,15.123,-0.062754,15.1232,-0.0627621,15.1233,-0.0627661,15.1238,-0.0627823
64,12.9301,0.00159122,12.9929,0.00587142,13.546,-0.0296181,13.9256,-0.042013,14.78,-0.0586225,15.1088,-0.0609495,15.1361,-0.0617519,15.1361,-0.0617538,15.1363,-0.0617618,15.1364,-0.0617656,15.1369,-0.0617813
65,12.9871,0.00123987,13.0487,0.00520525,13.5825,-0.0278217,13.9517,-0.0405732,14.791,-0.0578377,15.118,-0.0602468,15.1453,-0.0610469,15.1454,-0.0610487,15.1455,-0.0610566,15.1456,-0.0610604,15.1462,-0.061076
66,13.0479,0.00088552,13.1082,0.00452319,13.6231,-0.0258526,13.9817,-0.0389282,14.8032,-0.0569683,15.1265,-0.0596089,15.1535,-0.0604213,15.1536,-0.0604232,15.1537,-0.060431,15.1538,-0.0604349,15.1544,-0.0604507
67,13.1135,0.000527464,13.1725,0.00382081,13.6693,-0.023664,14.0171,-0.0369993,14.819,-0.0558474,15.1368,-0.058826,15.1635,-0.0596612,15.1635,-0.059663,15.1637,-0.059671,15.1638,-0.0596749,15.1643,-0.0596911
68,13.185,0.000166553,13.2428,0.00309604,13.7224,-0.021214,14.0598,-0.0347065,14.8409,-0.0543016,15.1519,-0.057684,15.1781,-0.0585483,15.1781,-0.0585502,15.1783,-0.0585583,15.1784,-0.0585623,15.1789,-0.0585791
69,13.2637,-0.000194228,13.3205,0.00235018,13.7841,-0.0184703,14.1116,-0.0319724,14.8713,-0.0521488,15.1747,-0.0559597,15.2003,-0.0568555,15.2003,-0.0568574,15.2005,-0.0568656,15.2006,-0.0568698,15.2011,-0.0568872
70,13.351,-0.000548948,13.4069,0.00158939,13.8559,-0.0154363,14.1733,-0.0287912,14.9117,-0.0493036,15.2075,-0.0534866,15.2325,-0.0544072,15.2325,-0.054409,15.2327,-0.0544175,15.2328,-0.0544217,15.2333,-0.0544395
71,13.4482,-0.000887045,13.5033,0.000830627,13.9376,-0.0122063,14.245,-0.0252262,14.9621,-0.0457854,15.2503,-0.0502749,15.2746,-0.0512125,15.2747,-0.0512144,15.2748,-0.0512229,15.2749,-0.0512272,15.2754,-0.0512454
72,13.5555,-0.00118855,13.6097,0.000107766,14.0293,-0.00889437,14.3268,-0.0213608,15.0225,-0.0416265,15.303,-0.046344,15.3268,-0.0472895,15.3268,-0.0472913,15.327,-0.0472998,15.3271,-0.0473042,15.3275,-0.0473226
73,13.6728,-0.00143335,13.7261,-0.000543896,14.131,-0.00563006,14.4185,-0.0172984,15.0929,-0.0368763,15.3657,-0.0417271,15.3889,-0.0426692,15.3889,-0.042671,15.3891,-0.0426794,15.3892,-0.0426837,15.3896,-0.0427021
74,13.8002,-0.00160283,13.8525,-0.0010902,14.2428,-0.00255149,14.5202,-0.0131603,15.1732,-0.031606,15.4384,-0.0364761,15.461,-0.0374009,15.461,-0.0374027,15.4611,-0.0374109,15.4612,-0.0374152,15.4617,-0.0374333
75,13.9377,-0.00168201,13.989,-0.00150144,14.3645,0.000205388,14.632,-0.0090804,15.2636,-0.0259122,15.521,-0.0306679,15.543,-0.0315588,15.543,-0.0315605,15.5432,-0.0315684,15.5433,-0.0315725,15.5437,-0.03159
76,14.0854,-0.00166206,14.1354,-0.00175644,14.4963,0.00252082,14.7538,-0.00519704,15.3639,-0.0199204,15.6137,-0.0244101,15.6351,-0.0252482,15.6351,-0.0252497,15.6353,-0.0252572,15.6353,-0.0252611,15.6358,-0.0252776
77,14.2433,-0.00154339,14.2919,-0.00184741,14.6382,0.00430875,14.8855,-0.0016411,15.4743,-0.0137876,15.7164,-0.0178486,15.7371,-0.0186131,15.7372,-0.0186145,15.7373,-0.0186214,15.7374,-0.018625,15.7378,-0.0186402
78,14.4114,-0.0013391,14.4583,-0.00178561,14.79,0.0055375,15.0273,0.00147906,15.5947,-0.00770294,15.829,-0.0111736,15.8492,-0.0118443,15.8492,-0.0118456,15.8494,-0.0118517,15.8495,-0.0118549,15.8499,-0.0118685
79,14.5898,-0.00107913,14.6348,-0.00160765,14.9519,0.00625321,15.1791,0.00409588,15.7251,-0.00188722,15.9517,-0.00462723,15.9713,-0.00518719,15.9713,-0.00518826,15.9715,-0.00519356,15.9715,-0.00519631,15.9719,-0.00520796
80,14.7786,-0.000814661,14.8214,-0.0013824,15.1237,0.00660579,15.341,0.00620327,15.8655,0.00340986,16.0845,0.00149043,16.1034,0.00105015,16.1035,0.00104924,16.1036,0.00104477,16.1037,0.00104248,16.104,0.00103282
